Whiteface Mountain,Panther Peak,45.455
Whiteface Mountain,Couchsachraga Peak,47.549
Whiteface Mountain,Santanoni Peak,46.141
Whiteface Mountain,Nye Mountain,32.387
Whiteface Mountain,Street Mountain,32.933
Whiteface Mountain,Wright Peak,31.894
Whiteface Mountain,Algonquin Peak,32.482
Whiteface Mountain,Iroquois Peak,33.815
Whiteface Mountain,Mount Marshall,37.609
Whiteface Mountain,Cascade Mountain,28.532
Whiteface Mountain,Porter Mountain,29.11
Whiteface Mountain,Big Slide Mountain,38.263
Whiteface Mountain,Phelps Mountain,33.889
Whiteface Mountain,Table Top Mountain,34.968
Whiteface Mountain,Mount Colden,36.646
Whiteface Mountain,Mount Marcy,38.326
Whiteface Mountain,Gray Peak,39.438
Whiteface Mountain,Mount Haystack,39.907
Whiteface Mountain,Cliff Mountain,39.498
Whiteface Mountain,Mount Skylight,40.2
Whiteface Mountain,Mount Redfield,39.972
Whiteface Mountain,Allen Mountain,49.25
Whiteface Mountain,Lower Wolfjaw Mountain,41.314
Whiteface Mountain,Upper Wolfjaw Mountain,44.173
Whiteface Mountain,Armstrong Mountain,46.627
Whiteface Mountain,Gothics,46.656
Whiteface Mountain,Saddleback Mountain,45.653
Whiteface Mountain,Basin Mountain,40.809
Whiteface Mountain,Sawteeth,47.404
Whiteface Mountain,Dial Mountain,45.422
Whiteface Mountain,Mount Colvin,47.204
Whiteface Mountain,Nippletop,48.118
Whiteface Mountain,Blake Peak,49.071
Whiteface Mountain,Dix Mountain,49.433
Whiteface Mountain,Hough Peak,51.055
Whiteface Mountain,Grace Mountain,53.168
Whiteface Mountain,South Dix,54.27
Whiteface Mountain,Macomb Mountain,55.432
Whiteface Mountain,Giant Mountain,42.101
Whiteface Mountain,Rocky Peak Ridge,43.979
Seward Mountain,Esther Mountain,58.299
Seward Mountain,Whiteface Mountain,49.065
Seward Mountain,Seymour Mountain,6.696
Seward Mountain,Donaldson Mountain,1.329
Seward Mountain,Mount Emmons,2.742
Seward Mountain,Panther Peak,20.942
Seward Mountain,Couchsachraga Peak,23.036
Seward Mountain,Santanoni Peak,21.628
Seward Mountain,Nye Mountain,37.69
Seward Mountain,Street Mountain,38.235
Seward Mountain,Wright Peak,35.044
Seward Mountain,Algonquin Peak,33.328
Seward Mountain,Iroquois Peak,33.727
Seward Mountain,Mount Marshall,31.842
Seward Mountain,Cascade Mountain,48.713
Seward Mountain,Porter Mountain,48.775
Seward Mountain,Big Slide Mountain,56.489
Seward Mountain,Phelps Mountain,38.558
Seward Mountain,Table Top Mountain,37.818
Seward Mountain,Mount Colden,32.49
Seward Mountain,Mount Marcy,36.251
Seward Mountain,Gray Peak,35.201
Seward Mountain,Mount Haystack,38.588
Seward Mountain,Cliff Mountain,33.639
Seward Mountain,Mount Skylight,35.858
Seward Mountain,Mount Redfield,34.113
Seward Mountain,Allen Mountain,39.41
Seward Mountain,Lower Wolfjaw Mountain,58.422
Seward Mountain,Upper Wolfjaw Mountain,58.931
Seward Mountain,Armstrong Mountain,44.732
Seward Mountain,Gothics,43.398
Seward Mountain,Saddleback Mountain,41.781
Seward Mountain,Basin Mountain,40.611
Seward Mountain,Sawteeth,45.204
Seward Mountain,Dial Mountain,51.723
Seward Mountain,Mount Colvin,45.683
Seward Mountain,Nippletop,49.449
Seward Mountain,Blake Peak,45.368
Seward Mountain,Dix Mountain,67.813
Seward Mountain,Hough Peak,73.759
Seward Mountain,Grace Mountain,74.5
Seward Mountain,South Dix,72.884
Seward Mountain,Macomb Mountain,71.71
Seward Mountain,Giant Mountain,70.845
Seward Mountain,Rocky Peak Ridge,72.724
Seymour Mountain,Esther Mountain,56.073
Seymour Mountain,Whiteface Mountain,46.838
Seymour Mountain,Seward Mountain,6.696
Seymour Mountain,Donaldson Mountain,8.025
Seymour Mountain,Mount Emmons,9.438
Seymour Mountain,Panther Peak,18.716
Seymour Mountain,Couchsachraga Peak,20.81
Seymour Mountain,Santanoni Peak,19.402
Seymour Mountain,Nye Mountain,35.463
Seymour Mountain,Street Mountain,36.009
Seymour Mountain,Wright Peak,32.818
Seymour Mountain,Algonquin Peak,31.102
Seymour Mountain,Iroquois Peak,31.501
Seymour Mountain,Mount Marshall,29.616
